S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1,Round 1,National Institute of Technology Uttarakhand,Communication Systems,G1,OBC-NCL,336,336
2,Round 1,National Institute of Technology Uttarakhand,Geotechnical Engineering,G1,OPEN,417,382
3,Round 1,National Institute of Technology Uttarakhand,Geotechnical Engineering,G1,SC,289,289
4,Round 1,National Institute of Technology Uttarakhand,Manufacturing Technology,G1,OBC-NCL,319,319
5,Round 1,National Institute of Technology Uttarakhand,Microelectronics & VLSI Design,G1,EWS,524,524
6,Round 1,National Institute of Technology Uttarakhand,Power Electronics & Drives,G1,OBC-NCL,371,371
7,Round 1,National Institute of Technology Uttarakhand,Power Electronics & Drives,G1,OPEN,400,384
8,Round 1,National Institute of Technology Uttarakhand,Power System & Control,G1,SC,260,256
9,Round 1,National Institute of Technology Uttarakhand,Structural Engineering,G1,OPEN,499,495
10,Round 1,National Institute of Technology Uttarakhand,Transportation Engineering,G1,SC,289,289
11,Round 1,National Institute of Technology Uttarakhand,Thermal Engineering,G1,OBC-NCL,385,356
12,Round 1,National Institute of Technology Uttarakhand,Computing Systems,G1,EWS,332,332
13,Round 1,"National Institute of Technology, Warangal",Additive Manufacturing,G1,OBC-NCL,563,555
14,Round 1,"National Institute of Technology, Warangal",Automobile Engineering,G1,EWS,606,602
15,Round 1,"National Institute of Technology, Warangal",Automobile Engineering,G1,OPEN,649,625
16,Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,G1,OBC-NCL,575,550
17,Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,G1,ST,300,254
18,Round 1,"National Institute of Technology, Warangal",Biotechnology,G1,OBC-NCL,528,454
19,Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,G1,SC,412,392
20,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,G1,ST,310,302
21,Round 1,"National Institute of Technology, Warangal",Chemical Engineering,G1,OBC-NCL,419,372
22,Round 1,National Institute of Technology Uttarakhand,Thermal Engineering,G1,OPEN,440,401
