S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1,Round 1,Malaviya National Institute of Technology Jaipur,Embedded Systems,G1,OBC-NCL,449,434
2,Round 1,Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,G1,OBC-NCL,420,400
3,Round 1,Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,G1,EWS,420,418
4,Round 1,Malaviya National Institute of Technology Jaipur,Power Systems,G1,ST,354,257
5,Round 1,Malaviya National Institute of Technology Jaipur,Production Engineering,G1,ST,267,267
6,Round 1,Malaviya National Institute of Technology Jaipur,Production Engineering,G2,OPEN,363,359
7,Round 1,Malaviya National Institute of Technology Jaipur,Urban Planning,G1,ST,104,104
8,Round 1,Malaviya National Institute of Technology Jaipur,Urban Planning,G2,OPEN,667,460
9,Round 1,Malaviya National Institute of Technology Jaipur,VLSI Design,G2,EWS,516,516
10,Round 1,Malaviya National Institute of Technology Jaipur,Water Resources Engineering,G1,SC,370,331
11,Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,G1,SC,480,467
12,Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G2,ST,251,251
13,Round 1,Maulana Azad National Institute of Technology Bhopal,Energy System Management,G1,OBC-NCL,358,345
14,Round 1,Maulana Azad National Institute of Technology Bhopal,Energy System Management,G1,EWS,328,328
15,Round 1,Maulana Azad National Institute of Technology Bhopal,Hydro Power Engineering,G1,SC,276,269
16,Round 1,Maulana Azad National Institute of Technology Bhopal,Industrial Design,G1,SC,268,254
17,Round 1,Maulana Azad National Institute of Technology Bhopal,Information Security,G1,OPEN,606,536
18,Round 1,Maulana Azad National Institute of Technology Bhopal,Materials Science & Technology,G1,OBC-NCL,324,311
19,Round 1,Maulana Azad National Institute of Technology Bhopal,Power Electronics & Drives,G1,EWS,354,354
20,Round 1,Maulana Azad National Institute of Technology Bhopal,Computer Networking,G1,OPEN,606,521
21,Round 1,Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,G1,OBC-NCL,329,329
22,Round 1,Motilal Nehru National Institute of Technology Allahabad,Communication Systems,G1,ST,276,271
23,Round 1,Motilal Nehru National Institute of Technology Allahabad,Design Engineering,G1,EWS,414,379
24,Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering in (Artificial Intelligence & Data Science),G1,SC,474,462
25,Round 1,Motilal Nehru National Institute of Technology Allahabad,Geotechnical Engineering,G1,ST,297,297
26,Round 1,Motilal Nehru National Institute of Technology Allahabad,Geoinformatics,G1,ST,250,236
27,Round 1,Motilal Nehru National Institute of Technology Allahabad,Information Security,G1,OPEN,661,624
28,Round 1,Motilal Nehru National Institute of Technology Allahabad,Power Electronics & Drives,G1,EWS,442,424
29,Round 1,Motilal Nehru National Institute of Technology Allahabad,Signal Processing,G1,ST,261,253
30,Round 1,Motilal Nehru National Institute of Technology Allahabad,Thermal Engineering,G1,ST,283,245
31,Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,G1,ST,368,353
32,Round 1,National Institute of Technology Agartala,Instrumentation Engineering,G1,EWS,335,335
33,Round 1,National Institute of Technology Agartala,Power System Engineering,G1,OBC-NCL,335,328
34,Round 1,National Institute of Technology Calicut,M.Plan. (Urban Planning),G1,ST,254,254
35,Round 1,National Institute of Technology Calicut,Industrial Power & Automation,G1,OBC-NCL,424,411
36,Round 1,National Institute of Technology Calicut,Manufacturing Technology,G1,EWS,404,388
37,Round 1,National Institute of Technology Calicut,Power Systems,G1,SC,350,332
38,Round 1,National Institute of Technology Calicut,Signal Processing,G1,OPEN,583,529
39,Round 1,National Institute of Technology Calicut,Structural Engineering,G1,EWS,487,486
40,Round 1,National Institute of Technology Calicut,Telecommunication,G1,ST,310,310
41,Round 1,National Institute of Technology Calicut,Computer Science & Engineering,G1,OPEN,709,694
42,Round 1,National Institute of Technology Calicut,Computer Science & Engineering,G1,OPEN-PwD,265,265
43,Round 1,National Institute of Technology Delhi,Power Electronics & Drives,G1,EWS,413,413
44,Round 1,"National Institute of Technology, Jamshedpur",Structural Engineering,G1,OPEN,454,401
45,Round 1,"National Institute of Technology, Jamshedpur",Thermal Engineering,G1,OPEN,396,358
46,Round 1,"National Institute of Technology, Kurukshetra",Materials Science and Nanotechnology,G1,EWS,357,357
47,Round 1,Maulana Azad National Institute of Technology Bhopal,Information Security,G1,ST,254,252
48,Round 1,Maulana Azad National Institute of Technology Bhopal,Transportation Engineering,G1,SC,377,339
49,Round 1,Maulana Azad National Institute of Technology Bhopal,M.Tech Agile Software Engineering,G1,EWS,474,458
50,Round 1,Maulana Azad National Institute of Technology Bhopal,Water Resources Engineering & Management,G1,OPEN,383,366
51,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G1,OBC-NCL,355,350
52,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G2,SC,249,249
53,Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering in (Artificial Intelligence & Data Science),G1,ST,357,357
54,Round 1,Motilal Nehru National Institute of Technology Allahabad,Fluids Engineering,G1,EWS,325,319
55,Round 1,Motilal Nehru National Institute of Technology Allahabad,Power Electronics & Drives,G1,OBC-NCL,464,446
56,Round 1,Motilal Nehru National Institute of Technology Allahabad,Product Design and Development,G1,OPEN,441,351
57,Round 1,Motilal Nehru National Institute of Technology Allahabad,Transportation Engineering,G1,EWS,424,424
58,Round 1,National Institute of Technology Agartala,Communication Systems & Signal Processing,G1,OPEN,375,360
59,Round 1,National Institute of Technology Agartala,Cyber Security,G1,OBC-NCL,442,442
60,Round 1,National Institute of Technology Agartala,Biotechnology & Biochemical Engineering,G1,OBC-NCL,364,361
61,Round 1,National Institute of Technology Agartala,Biotechnology & Biochemical Engineering,G1,OPEN,545,451
62,Round 1,National Institute of Technology Agartala,VLSI Design,G1,OPEN,497,424
63,Round 1,National Institute of Technology Calicut,M.Plan. (Urban Planning),G1,SC,466,339
64,Round 1,National Institute of Technology Calicut,Electronics Design & Technology,G1,SC,400,400
65,Round 1,National Institute of Technology Calicut,Geotechnical Engineering,G1,EWS,409,405
66,Round 1,National Institute of Technology Calicut,High Voltage Engineering,G1,EWS,363,350
67,Round 1,National Institute of Technology Calicut,Machine Design,G1,SC,392,359
68,Round 1,National Institute of Technology Calicut,Materials Science & Technology,G1,OBC-NCL,349,334
69,Round 1,National Institute of Technology Calicut,Materials Science & Technology,G1,OPEN,402,351
70,Round 1,National Institute of Technology Calicut,Offshore Structures,G1,OPEN,578,425
71,Round 1,National Institute of Technology Calicut,Power Electronics,G1,EWS,494,494
72,Round 1,National Institute of Technology Calicut,Signal Processing,G1,EWS,474,474
73,Round 1,National Institute of Technology Calicut,Structural Engineering,G1,OPEN,681,509
74,Round 1,National Institute of Technology Calicut,Water Resource Engineering,G1,OPEN,432,402
75,Round 1,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),G1,ST,367,357
76,Round 1,National Institute of Technology Delhi,Civil Engineering,G1,OBC-NCL,425,425
