S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1626,Round 1,"National Institute of Technology, Tiruchirappalli",Welding Engineering,Group 2,SC,467,423
1627,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,OBC,700,678
1628,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,EWS,735,707
1629,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,EWS-PwD,366,366
1630,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,OPEN,784,767
1631,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,SC,546,542
1632,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 1,ST,660,430
1633,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 2,OBC,624,622
1634,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 2,EWS,634,634
1635,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 2,OPEN,769,746
1636,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 2,SC,592,592
1637,Round 1,"National Institute of Technology, Tiruchirappalli",Computer Science & Engineering,Group 2,ST,357,357
1638,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,Group 1,OBC,473,396
1639,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,Group 1,EWS,464,464
1640,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,Group 1,OPEN,655,554
1641,Round 1,National Institute of Technology Uttarakhand,Artificial Intelligence,Group 1,SC,326,290
1642,Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,OPEN-PwD,426,426
1643,Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,SC,417,412
1644,Round 1,"National Institute of Technology, Warangal",Advanced Communication Systems,Group 1,ST,292,274
1645,Round 1,"National Institute of Technology, Warangal",Biotechnology,Group 1,OBC,448,399
1646,Round 1,"National Institute of Technology, Warangal",Biotechnology,Group 1,EWS,497,433
1647,Round 1,"National Institute of Technology, Warangal",Biotechnology,Group 1,OPEN,651,566
1648,Round 1,"National Institute of Technology, Warangal",Biotechnology,Group 1,SC,468,306
1649,Round 1,"National Institute of Technology, Warangal",Biotechnology,Group 1,ST,296,296
1650,Round 1,"National Institute of Technology, Warangal",Waste Management,Group 1,OBC,474,454
1651,Round 1,"National Institute of Technology, Warangal",Waste Management,Group 1,EWS,483,463
1652,Round 1,"National Institute of Technology, Warangal",Waste Management,Group 1,OPEN,560,507
1653,Round 1,"National Institute of Technology, Warangal",Waste Management,Group 1,SC,317,317
1654,Round 1,"National Institute of Technology, Warangal",Waste Management,Group 1,ST,279,279
1655,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,OBC,589,562
1656,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,EWS,589,583
1657,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,OPEN,649,589
1658,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,SC,434,377
1659,Round 1,"National Institute of Technology, Warangal",Smart Electric Grid,Group 1,ST,309,271
1660,Round 1,"National Institute of Technology, Warangal",Chemical Engineering,Group 1,OBC,458,406
1661,Round 1,"National Institute of Technology, Warangal",Chemical Engineering,Group 1,EWS,385,365
1662,Round 1,"National Institute of Technology, Warangal",Chemical Engineering,Group 1,OPEN,532,495
1663,Round 1,"National Institute of Technology, Warangal",Chemical Engineering,Group 1,SC,272,223
1664,Round 1,"National Institute of Technology, Warangal",Chemical Engineering,Group 1,ST,280,243
1665,Round 1,"National Institute of Technology, Warangal",Construction Technology and Management,Group 1,OBC,598,548
1666,Round 1,"National Institute of Technology, Warangal",Construction Technology and Management,Group 1,EWS,572,558
1667,Round 1,"National Institute of Technology, Warangal",Construction Technology and Management,Group 1,OPEN,704,598
1668,Round 1,"National Institute of Technology, Warangal",Power Systems Engineering,Group 1,SC,445,418
1669,Round 1,"National Institute of Technology, Warangal",Power Systems Engineering,Group 1,ST,411,347
1670,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,Group 1,OBC,454,409
1671,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,Group 1,EWS,477,477
1672,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,Group 1,OPEN,594,531
1673,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,Group 1,SC,354,354
1674,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,Group 2,OBC,418,385
1675,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,Group 2,OPEN,479,479
1676,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,Group 3,OBC,581,581
1677,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,Group 3,OPEN,657,635
1678,Round 1,"National Institute of Technology, Warangal",Systems and Control Engineering,Group 3,SC,384,384
