S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1,Round 1,Motilal Nehru National Institute of Technology Allahabad,Thermal Engineering,G1,OPEN,466,394
2,Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering,G1,OBC-NCL,708,665
3,Round 1,National Institute of Technology Agartala,Geotechnical Engineering,G1,SC,253,249
4,Round 1,National Institute of Technology Agartala,Hydro Informatics Engineering,G1,SC,220,220
5,Round 1,National Institute of Technology Agartala,Integrated Energy System,G1,OBC-NCL,338,338
6,Round 1,National Institute of Technology Agartala,Data Science & Engineering,G1,OBC-NCL,514,496
7,Round 1,National Institute of Technology Calicut,Electronics Design & Technology,G1,OPEN,627,600
8,Round 1,National Institute of Technology Calicut,Geotechnical Engineering,G1,ST,310,310
9,Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G1,EWS,393,393
10,Round 1,National Institute of Technology Calicut,Instrumentation & Control Systems,G2,ST,226,226
11,Round 1,National Institute of Technology Calicut,Industrial Engineering & Management,G1,EWS,487,366
12,Round 1,National Institute of Technology Calicut,Microelectronics & VLSI Design,G1,OBC-NCL,635,612
13,Round 1,National Institute of Technology Calicut,Materials Science & Technology,G1,OBC-NCL,349,318
14,Round 1,National Institute of Technology Calicut,Telecommunication,G1,OPEN,530,506
15,Round 1,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),G1,OBC-NCL,693,671
16,Round 1,National Institute of Technology Delhi,Computer Science & Engineering,G1,EWS,665,665
17,Round 1,National Institute of Technology Delhi,Computer Science & Engineering,G1,SC,531,502
18,Round 1,National Institute of Technology Durgapur,Sustainable Materials & Technology,G1,SC,291,288
19,Round 1,National Institute of Technology Durgapur,Microelectronics & VLSI,G1,EWS,579,549
20,Round 1,National Institute of Technology Durgapur,Operations Research,G1,OBC-NCL,468,436
21,Round 1,National Institute of Technology Durgapur,Power System,G1,ST,267,267
22,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Machine Intelligence and Automation,G1,ST,318,318
23,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Geotechnical Engineering and Infrastructure Design,G1,OPEN,378,378
24,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Design Engineering,G1,OPEN,428,353
25,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Renewable Energy,G1,ST,260,260
26,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Signal Processing and Machine Learning,G1,OPEN,543,424
27,Round 1,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Structural and Construction Engineering,G1,OPEN,416,351
28,Round 1,Malaviya National Institute of Technology Jaipur,Chemical Engineering and Sustainable Technology,G1,OPEN,435,366
29,Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,OBC-NCL,424,400
30,Round 1,Malaviya National Institute of Technology Jaipur,Design Engineering,G1,EWS,432,429
31,Round 1,Malaviya National Institute of Technology Jaipur,Power Electronics & Drives,G1,SC,354,318
32,Round 1,Malaviya National Institute of Technology Jaipur,Power Systems Management,G1,SC,303,299
33,Round 1,Malaviya National Institute of Technology Jaipur,Computer Science & Engineering,G1,SC,542,506
34,Round 1,Maulana Azad National Institute of Technology Bhopal,Artificial Intelligence,G1,OPEN,862,635
