S.No,Rounds,College Name,MTECH Course Name,Group,Category,Max GATE Score,Min GATE Score
1,Round 1,Maulana Azad National Institute of Technology Bhopal,Information Security,G1,ST,254,252
2,Round 1,Maulana Azad National Institute of Technology Bhopal,Transportation Engineering,G1,SC,377,339
3,Round 1,Maulana Azad National Institute of Technology Bhopal,M.Tech Agile Software Engineering,G1,EWS,474,458
4,Round 1,Maulana Azad National Institute of Technology Bhopal,Water Resources Engineering & Management,G1,OPEN,383,366
5,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G1,OBC-NCL,355,350
6,Round 1,Motilal Nehru National Institute of Technology Allahabad,Biomedical Engineering,G2,SC,249,249
7,Round 1,Motilal Nehru National Institute of Technology Allahabad,Computer Science & Engineering in (Artificial Intelligence & Data Science),G1,ST,357,357
8,Round 1,Motilal Nehru National Institute of Technology Allahabad,Fluids Engineering,G1,EWS,325,319
9,Round 1,Motilal Nehru National Institute of Technology Allahabad,Power Electronics & Drives,G1,OBC-NCL,464,446
10,Round 1,Motilal Nehru National Institute of Technology Allahabad,Product Design and Development,G1,OPEN,441,351
11,Round 1,Motilal Nehru National Institute of Technology Allahabad,Transportation Engineering,G1,EWS,424,424
12,Round 1,National Institute of Technology Agartala,Communication Systems & Signal Processing,G1,OPEN,375,360
13,Round 1,National Institute of Technology Agartala,Cyber Security,G1,OBC-NCL,442,442
14,Round 1,National Institute of Technology Agartala,Biotechnology & Biochemical Engineering,G1,OBC-NCL,364,361
15,Round 1,National Institute of Technology Agartala,Biotechnology & Biochemical Engineering,G1,OPEN,545,451
16,Round 1,National Institute of Technology Agartala,VLSI Design,G1,OPEN,497,424
17,Round 1,National Institute of Technology Calicut,M.Plan. (Urban Planning),G1,SC,466,339
18,Round 1,National Institute of Technology Calicut,Electronics Design & Technology,G1,SC,400,400
19,Round 1,National Institute of Technology Calicut,Geotechnical Engineering,G1,EWS,409,405
20,Round 1,National Institute of Technology Calicut,High Voltage Engineering,G1,EWS,363,350
21,Round 1,National Institute of Technology Calicut,Machine Design,G1,SC,392,359
22,Round 1,National Institute of Technology Calicut,Materials Science & Technology,G1,OBC-NCL,349,334
23,Round 1,National Institute of Technology Calicut,Materials Science & Technology,G1,OPEN,402,351
24,Round 1,National Institute of Technology Calicut,Offshore Structures,G1,OPEN,578,425
25,Round 1,National Institute of Technology Calicut,Power Electronics,G1,EWS,494,494
26,Round 1,National Institute of Technology Calicut,Signal Processing,G1,EWS,474,474
27,Round 1,National Institute of Technology Calicut,Structural Engineering,G1,OPEN,681,509
28,Round 1,National Institute of Technology Calicut,Water Resource Engineering,G1,OPEN,432,402
29,Round 1,National Institute of Technology Calicut,Computer Science & Engineering (Information Security),G1,ST,367,357
30,Round 1,National Institute of Technology Delhi,Civil Engineering,G1,OBC-NCL,425,425
